Pollutant,Category,Sources,Agricultural & Waste,Agriculture,Agriculture - Pesticide use,Agriculture/Waste,Agriculture/Waste/Accidental fires,All,Automobile tyre and brake wear,Cattle,Chemical Industry,Chemical industry - Solvent Use,Combustion & Production Processes,Combustion Processes,Combustion Residential / Commercial / Institutional,Combustion from Residential,Combustion in Energy and Transformation Industry,Combustion in Industry,Combustion in Industry/Commercial/Residential,Combustion in Manufacturing Industry,Combustion in Residential/Institutional/Commercial,Combustion/Waste,Direct Soil Emissions,Extraction & Distribution of Fossil Fuels,Glass Production,Heavy duty vehicles,Industrial Combustion,Industry/Transport/ Agriculture/Waste,Iron and Steel,Iron and Steel (combustion),Metal Production,Metal Production (process emissions),Non-Industrial Combustion Plants,Other (Production Processes/Agriculture),Other Industrial Combustion,Other Industrial Combustion: Treated wood,Other Livestock,Other Production Processes / Waste,Other Stationary Combustion,Other Transport,Other industrial combustion: Lubricants,PCP in previously treated wood,Passenger cars,Poultry,Production Processes,Production Processes/Waste,Production Processes/Waste Incineration,Production Processes: Agriculture/Waste/other,Public Electricity Generation / Industrial Combustion,Public Electricity Production / Industrial Combustion,Public Electricity and Heat Production,Residential / Commercial / Institutional,Residential / Commercial / Institutional & Waste,Residential /Commercial / Institutional,Residential/Commercial / Institutional,Road & Other Transport,Road Transport,Shipping,Solid fuel transformation,Solvent & Other Product Use,Solvent use/Off road vehicles (including machinery)/Bonfire night,Stationary Combustion,Transport,Waste,Waste Incineration,Waste Incineration / Fireworks
Sodium ,Heavy metals and base cations,"All,Combustion in Manufacturing Industry,Combustion in Residential/Institutional/Commercial,Combustion in Energy and Transformation Industry,Glass Production,Production Processes,Shipping",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Potassium ,Heavy metals and base cations,"All,Combustion in Manufacturing Industry,Combustion in Energy and Transformation Industry,Combustion in Residential/Institutional/Commercial,Production Processes,Road Transport",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Selenium ,Heavy metals and base cations,"All,Combustion in Manufacturing Industry,Combustion in Energy and Transformation Industry,Other Stationary Combustion,Other Transport,Production Processes,Road Transport",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Mercury ,Heavy metals and base cations,"All,Combustion in Energy and Transformation Industry,Iron and Steel,Other Stationary Combustion,Production Processes,Transport,Waste Incineration",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Nickel ,Heavy metals and base cations,"All,Combustion in Energy and Transformation Industry,Iron and Steel,Other Stationary Combustion,Production Processes,Transport",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Magnesium ,Heavy metals and base cations,"All,Combustion in Manufacturing Industry,Combustion in Energy and Transformation Industry,Combustion in Residential/Institutional/Commercial,Glass Production,Production Processes",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chromium ,Heavy metals and base cations,"All,Chemical industry - Solvent Use,Metal Production,Other Production Processes / Waste,Public Electricity Generation / Industrial Combustion,Residential / Commercial / Institutional,Transport",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Lead ,Heavy metals and base cations,"All,Iron and Steel,Other industrial combustion: Lubricants,Other Stationary Combustion,Production Processes,Public Electricity and Heat Production,Transport",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Zinc ,Heavy metals and base cations,"All,Combustion in Manufacturing Industry,Automobile tyre and brake wear,Combustion in Energy and Transformation Industry,Metal Production,Other Transport,Production Processes/Waste,Residential /Commercial / Institutional,Waste Incineration",0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Calcium ,Heavy metals and base cations,"All,Combustion in Manufacturing Industry,Combustion in Energy and Transformation Industry,Combustion in Residential/Institutional/Commercial,Production Processes,Shipping",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
